Name;Price;Link;Image;Availability;Source
Sampon Bio cu rozmarin pentru par gras, 250 ml, Cattier;37,00 LEI;https://comenzi.farmaciatei.ro/ingrijire-personala/ingrijire-par/sampon/sampon-bio-cu-rozmarin-pentru-par-gras-250-ml-cattier-p326093;https://media.farmaciatei.ro/gallery/11311/sampon-bio-cu-rozmarin-pentru-par-gras-250-ml-cattier-6363.jpg;true;Farmacia Tei
Sampon anti matreata pentru scalp gras sau uscat, 200 ml, Foltene;50,00 LEI;https://comenzi.farmaciatei.ro/ingrijire-personala/ingrijire-par/antimatreata/sampon-anti-matreata-pentru-scalp-gras-sau-uscat-200-ml-foltene-p359177;https://media.farmaciatei.ro/gallery/43419/sampon-anti-matreata-pentru-scalp-gras-sau-uscat-200-ml-foltene-5841.jpg;true;Farmacia Tei
Sampon antimatreata Novophane K, 125 ml, Acm;52,50 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/matreata/sampon-antimatreata-novophane-k-125-ml-acm-p317666;https://media.farmaciatei.ro/gallery/15882/sampon-antimatreata-novophane-k-125-ml-acm-8084.png;true;Farmacia Tei
Sampon Bio cu argila verde pentru par gras, 250 ml, Cattier;37,00 LEI;https://comenzi.farmaciatei.ro/ingrijire-personala/ingrijire-par/sampon/sampon-bio-cu-argila-verde-pentru-par-gras-250-ml-cattier-p326086;https://media.farmaciatei.ro/gallery/11307/sampon-bio-cu-argila-verde-pentru-par-gras-250-ml-cattier-7295.jpg;true;Farmacia Tei
Sampon pentru par gras cu menta, octopirox si urzica, 400 ml,...;13,00 LEI;https://comenzi.farmaciatei.ro/ingrijire-personala/ingrijire-par/sampon/sampon-pentru-par-gras-cu-menta-octopirox-si-urzica-400-ml-ziaja-p325500;https://media.farmaciatei.ro/gallery/17539/sampon-pentru-par-gras-cu-menta-octopirox-si-urzica-400-ml-ziaja-3770.webp;true;Farmacia Tei
Sampon antimatreata cu galangal, 400 ml, Klorane;63,00 LEI;https://comenzi.farmaciatei.ro/ingrijire-personala/ingrijire-par/antimatreata/sampon-antimatreata-cu-galangal-400-ml-klorane-p363141;https://media.farmaciatei.ro/gallery/55483/sampon-antimatreata-cu-galangal-400-ml-klorane-9311.png;true;Farmacia Tei
Sampon purifiant pentru scalp cu tendinta de ingrasare Curbicia,...;57,00 LEI;https://comenzi.farmaciatei.ro/ingrijire-personala/ingrijire-par/sampon/sampon-purifiant-pentru-scalp-cu-tendinta-de-ingrasare-curbicia-150-ml-rene-furterer-p339814;https://media.farmaciatei.ro/images/products-photos/curbicia-sampon.jpg;true;Farmacia Tei
Sampon pentru scalp iritat si exces de sebum Mediket Ictamo,...;63,50 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/anti-prurit/sampon-pentru-scalp-iritat-si-exces-de-sebum-mediket-ictamo-80-ml-benemedo-p302298;https://media.farmaciatei.ro/gallery/15124/sampon-pentru-scalp-cu-iritatii-si-exces-de-sebum-mediket-ictamo-80-ml-benemedo-4846.jpg;true;Farmacia Tei
Gel de dus pentru corp si par Mediket Versi, 120 ml, Benemedo;57,00 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/corp/anti-fungic/gel-de-dus-pentru-corp-si-par-mediket-versi-120-ml-benemedo-p302300;https://media.farmaciatei.ro/gallery/15118/gel-de-dus-pentru-corp-si-par-mediket-versi-120-ml-benemedo-3306.jpg;true;Farmacia Tei
Sampon pentru scalp sensibil Sensinol, 200 ml, Ducray;70,50 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/anti-prurit/sampon-pentru-scalp-sensibil-sensinol-200-ml-ducray-p310288;https://media.farmaciatei.ro/gallery/10068/sampon-fizioprotector-sensinol-200-ml-ducray-5965.png;true;Farmacia Tei
Sampon calmant Node K, 150 ml, Bioderma;72,00 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/anti-prurit/sampon-calmant-node-k-150-ml-bioderma-p300868;https://media.farmaciatei.ro/gallery/34354/sampon-calmant-node-k-150-ml-bioderma-533.png;true;Farmacia Tei
Sampon antimatreata Sebo Salic duo active, 125 ml, Slavia Pharm;42,00 LEI;https://comenzi.farmaciatei.ro/ingrijire-personala/ingrijire-par/antimatreata/sampon-antimatreata-sebo-salic-duo-active-125-ml-slavia-pharm-p345066;https://media.farmaciatei.ro/images/products-photos/sampon-antimatreata-sebo-salic-duo-active-125-ml-slavia-pharm-8191.jpg;true;Farmacia Tei
